OgrenciID,Sinif,Matematik,Fen,Turkce,Sosyal,ToplamPuan,DusukPuan
Ogrenci_1,6A,75,82,90,65,312,Hayir
Ogrenci_3,6B,88,92,85,80,345,Hayir
Ogrenci_5,7A,78,70,82,68,298,Hayir
Ogrenci_6,6A,55,65,60,58,238,Hayir
Ogrenci_8,6B,90,85,88,92,355,Hayir
Ogrenci_9,8A,60,70,65,75,270,Hayir
Ogrenci_11,6A,80,82,78,85,325,Hayir
Ogrenci_12,7B,52,50,60,55,217,Hayir
Ogrenci_14,8A,88,90,85,92,355,Hayir
Ogrenci_15,7A,70,75,72,68,285,Hayir
Ogrenci_16,6A,60,65,58,62,245,Hayir
Ogrenci_18,6B,80,82,85,88,335,Hayir
Ogrenci_19,8A,55,60,58,62,235,Hayir
Ogrenci_21,6A,90,88,92,85,355,Hayir
Ogrenci_23,6B,72,75,70,68,285,Hayir
Ogrenci_25,7A,85,88,82,80,335,Hayir
Ogrenci_26,6A,55,60,58,62,235,Hayir
Ogrenci_28,6B,78,80,75,72,305,Hayir
Ogrenci_29,8A,60,65,62,58,245,Hayir
Ogrenci_31,6A,82,85,88,80,335,Hayir
Ogrenci_32,7B,55,60,58,52,225,Hayir
Ogrenci_34,8A,90,92,88,85,355,Hayir
Ogrenci_35,7A,68,70,65,72,275,Hayir
Ogrenci_36,6A,50,55,52,48,205,Hayir
Ogrenci_38,6B,88,90,85,92,355,Hayir
Ogrenci_39,8A,60,62,58,65,245,Hayir
Ogrenci_41,6A,75,78,80,82,315,Hayir
Ogrenci_42,7B,50,55,52,48,205,Hayir
Ogrenci_44,8A,85,88,82,80,335,Hayir
Ogrenci_45,7A,60,62,58,65,245,Hayir
Ogrenci_47,7B,90,92,88,85,355,Hayir
Ogrenci_48,6B,55,58,60,62,235,Hayir
Ogrenci_50,7A,78,80,75,72,305,Hayir
